reg_lambda,score
0.9999873658497394,0.14531749084887008
1.0,0.14531747639388506
1.0,0.14531747639388506
1.0,0.14531747639388506
1.0,0.14531747639388506
1.0,0.14531747639388506
1.0,0.14531747639388506
1.0,0.14531747639388506
1.0,0.14531747639388506
1.0,0.14531747639388506
1.0,0.14531747639388506
0.9998861493606287,0.14531652106964404
0.9998096693093418,0.14531634199215845
0.9997465055053776,0.14531631640458903
0.9998112566327323,0.14531627791789664
0.9998192478826051,0.14531626537263623
0.9997614726676841,0.1453162433621909
0.999667213395411,0.14531623686447398
0.9996590260454633,0.14531616899850047
0.9996903991082088,0.1453161065909792
0.9996822819585964,0.14531604143995502
0.9996060591558771,0.14531590091182936
0.9995353024606991,0.1453157617440474
0.9995675770287579,0.1453156695787764
0.9993980442055682,0.1453153234082353
0.9993978477679625,0.1453153218271686
0.9993657659956666,0.14531518307765898
0.9993192694238305,0.14531480711328829
0.9992989305773234,0.14531464551450193
0.9992859878323701,0.14531458306331507
0.9992944213678477,0.14531457123496122
0.9990894936807061,0.14531300245672812
0.9989840475469886,0.14531219555345593
0.9989526085971768,0.14531182567749812
0.9987891571231676,0.14531078382787052
0.9986584637787805,0.14530963770953897
0.998626810572624,0.1453093005546178
0.9985592707992417,0.14530922382132147
0.9984722650215305,0.14530894705098282
0.9984170565870831,0.14530871452283095
0.9981188650714973,0.14530734683500135
0.9978741598499627,0.14530646850613527
0.9976954266954137,0.14530495344553068
0.997337019212353,0.14530316421291523
0.9912017526620899,0.1452703727410682
0.9744044165384433,0.145151591548374
0.9354377681854947,0.14478731149676816
0.9169949547723495,0.14456524769828213
0.9133062605347905,0.14451294893083608
0.9080461147027256,0.14444156334681668
0.9080015179284018,0.14444083633599486
0.9040976822611972,0.14438281007523718
0.8947316434284516,0.14424179982868526
0.8847892244264678,0.14407905471824362
0.8844814135140389,0.14407324840303354
0.8781346131091212,0.143962159912584
0.8609671940734491,0.14364578275249618
0.8242769146958274,0.1428466586123564
0.8140460359640485,0.14259190972553099
0.8118867605934625,0.14253578303876455
0.8080286593088366,0.14243375216570378
0.8016576696326887,0.14225916350096263
0.7952170127214424,0.14207596451331433
0.7916104848686322,0.14196955134139377
0.7819972208375577,0.14167787560820935
0.7792039179304593,0.14159251747255616
0.7755777711131963,0.14147541570258584
0.7704959700857659,0.1413078758303273
0.7704042139007857,0.14130501462346218
0.7685766432150715,0.14124396224310423
0.7677516149089146,0.1412166067830147
0.7652019157673898,0.14113086073567827
0.7606243078283111,0.1409733421652593
0.7587185051064612,0.14090629765523288
0.7569367379181853,0.1408410772320222
0.7470846681787937,0.1404844896322555
0.7242225754951054,0.13958483015503473
0.682779951583683,0.1376609135809822
0.6641785459303015,0.13666742255967965
0.6552200359930195,0.1361554108762819
0.6410497465609811,0.13530393211432284
0.6224277976300511,0.13409958506843095
0.6057454313565676,0.13292080394835074
0.5556761492573784,0.1288253941595207
0.5522761430909137,0.12851432634081844
0.5492207590611754,0.12823177211321518
0.5373155847046804,0.12708542898649736
0.5078711947636781,0.1239877663138114
0.4627416515348467,0.11834813108662552
0.44882939617726236,0.11637574296183814
0.39587923928574326,0.10756321987550976
0.37782080678572755,0.1040206088126546
0.3480514384465619,0.09745878722807
0.31317238440338624,0.0884360377154434
0.3078607616948601,0.08691966852063834
0.28515020870851177,0.07993750828840795
0.28222833112111034,0.07897897361084219
0.26965492221744075,0.07466467476371885
0.24279719592336452,0.06440427419081833
0.2377049111493814,0.06227544581741749
0.21284105041076948,0.050931446111503464
0.20890265739608702,0.04897503790501212
0.18443575882685892,0.0357056738006319
0.16818844019494236,0.02568075456993444
0.1465769311777738,0.010561708217462362
0.12231603461555977,-0.009390760763791505
0.11594491408425192,-0.015260034242013698
0.11177726267147753,-0.019254921783127578
0.09760470956229886,-0.03386424992826995
0.08231292439765847,-0.0516513948171208
0.07409912226106855,-0.06223188693870489
0.07278931601650776,-0.06398510214421171
0.06934530945317348,-0.06871934522878734
0.05805593137187829,-0.0853540813053166
0.04847878477708667,-0.10097965587431165
0.04775118430165602,-0.10223098280702814
0.04029757830380081,-0.11563796425585848
0.03000325071958027,-0.13621756289668527
0.028956321764254486,-0.1384736426838576
0.02806295064397917,-0.14043175170045896
0.021235157094333126,-0.15637526102627364
0.018814949956167306,-0.16256634006755702
0.01611565274703233,-0.17001666294397227
0.016017512771029852,-0.17030033342402925
0.012318667580214788,-0.18175354915821976
0.011067993348087493,-0.18615899125546959
0.01019610492439669,-0.18949295499153634
0.009181780618777785,-0.19367503562278232
0.007554591662986102,-0.20143472093409417
0.00598742993217303,-0.21120015480059626
0.004891062432429671,-0.22180063009160572
0.0035615821384587594,-0.24072902653007283
0.0032364425030591407,-0.2411258958307946
0.002666231191691545,-0.2505575136953656
0.0038576507737700483,-0.2630213041892488
0.002128797014910101,-0.26920466057771536
0.0019945394905726836,-0.27950163582280946
0.0019931847687628666,-0.2796411070491195
0.0014278607702448913,-0.3187401197596694
0.0017339549948228912,-0.3570514958837062
0.0009073154444442363,-0.5695701888698104
0.0006361002070605246,-0.5875879209951244
0.0002675409078120719,-0.6773303230401762
0.004052289393762669,-0.7914009481763569
0.00042242257028861396,-0.8240575992230964
0.0008797431780805016,-1.0280712733476112
0.00032546012860767216,-1.1607117293470859
0.00010005262291728017,-1.335703551772466
0.0001,-1.5250120860908019
0.00011077908214431575,-3.865047970714386
