latent_dim,siamese_hdims,kaiming_constant,dprob,tr_batch_size,val_batch_size,test_batch_size,optimizer,optimizer__global__weight_decay,optimizer__global__lr,prot,weave,gconv,score
512,"[199, 1434, 1059, 265]",5,0.17390461489404324,128,128,128,adagrad,0.018332100923581077,0.0010641727491409922,"{'model_type': 'rnn', 'dim': 38, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 31}","{'dim': 50, 'update_pairs': False}",{'dim': 444},-32.34144152520632
512,"[477, 88]",5,0.36875119814460744,256,128,128,adam,0.001774012940927362,0.540926982147004,"{'model_type': 'rnn', 'dim': 10, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 40}","{'dim': 50, 'update_pairs': False}",{'dim': 361},-35.76846402913634
512,"[1572, 1103]",5,0.13347140790188924,256,128,128,adam,0.013433193414310741,0.0006539315095735572,"{'model_type': 'rnn', 'dim': 26, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 40}","{'dim': 50, 'update_pairs': False}",{'dim': 240},-36.72852714781353
512,"[970, 577, 299, 1759]",5,0.1252202525734865,256,128,128,adagrad,0.00046665671036470605,0.052965454206193884,"{'model_type': 'rnn', 'dim': 9, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 17}","{'dim': 50, 'update_pairs': False}",{'dim': 270},-42.231755439907765
512,"[1292, 250]",5,0.30029272196490187,256,128,128,adagrad,0.0004198831475879985,0.0012910744652826066,"{'model_type': 'rnn', 'dim': 40, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 29}","{'dim': 50, 'update_pairs': False}",{'dim': 450},-42.586688071567664
64,"[238, 296, 1979]",5,0.4128274862987328,128,128,128,adam,0.0017042969524675015,0.0017767558486175828,"{'model_type': 'rnn', 'dim': 36, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 30}","{'dim': 50, 'update_pairs': False}",{'dim': 151},-45.79844986848613
512,"[2034, 1949]",5,0.4147690465591892,256,128,128,adam,0.12707738140048444,0.18403467419323946,"{'model_type': 'rnn', 'dim': 19, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 18}","{'dim': 50, 'update_pairs': False}",{'dim': 196},-47.42842609515795
512,"[415, 218, 190]",5,0.18109762977733038,256,128,128,adadelta,0.0001485717601672601,0.07411570464449808,"{'model_type': 'rnn', 'dim': 5, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 8}","{'dim': 50, 'update_pairs': False}",{'dim': 487},-58.34576012213479
512,"[447, 722]",5,0.3094350048697795,256,128,128,rmsprop,0.0015331119446828343,0.000840428051294255,"{'model_type': 'rnn', 'dim': 42, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 28}","{'dim': 50, 'update_pairs': False}",{'dim': 83},-73.33057028885025
512,"[833, 1096]",5,0.11220729070238213,128,128,128,adam,0.00019132588971825358,0.3385323645102644,"{'model_type': 'rnn', 'dim': 6, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 9}","{'dim': 50, 'update_pairs': False}",{'dim': 79},-81.19574033244496
256,[1887],5,0.3028817270963182,128,128,128,adamax,0.0002717497684698542,0.011133170743477238,"{'model_type': 'rnn', 'dim': 46, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 15}","{'dim': 50, 'update_pairs': False}",{'dim': 227},-84.7529808839055
512,"[1694, 772]",5,0.4463191363504936,128,128,128,rmsprop,0.2902656486984474,0.006559221472974422,"{'model_type': 'rnn', 'dim': 32, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 41}","{'dim': 50, 'update_pairs': False}",{'dim': 265},-86.92775209479568
512,"[493, 1026]",5,0.43826887610923027,128,128,128,adam,0.0096378437782779,0.4383516125680089,"{'model_type': 'rnn', 'dim': 21, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 16}","{'dim': 50, 'update_pairs': False}",{'dim': 278},-88.60232447789284
256,"[937, 230, 1477]",5,0.2191121990961784,128,128,128,adamax,0.0026972156768672647,0.0046648726500116405,"{'model_type': 'rnn', 'dim': 34, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 22}","{'dim': 50, 'update_pairs': False}",{'dim': 169},-91.98354841164765
512,[1070],5,0.4472119161328818,256,128,128,adamax,0.0006578476645168063,0.0008451579627687857,"{'model_type': 'rnn', 'dim': 36, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 34}","{'dim': 50, 'update_pairs': False}",{'dim': 412},-96.29141571689436
256,"[1310, 1638, 510]",5,0.47817889743139497,256,128,128,adamax,0.06728785821062973,0.001352044011508972,"{'model_type': 'rnn', 'dim': 39, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 31}","{'dim': 50, 'update_pairs': False}",{'dim': 217},-97.98900113333427
256,"[1671, 711, 590]",5,0.3693266842671057,256,128,128,adagrad,0.011124156741891059,0.00020268988220468152,"{'model_type': 'rnn', 'dim': 14, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 21}","{'dim': 50, 'update_pairs': False}",{'dim': 465},-99.08574011689457
