latent_dim,optimizer,optimizer__global__weight_decay,optimizer__global__lr,score
100,rmsprop,0.005517384954317297,0.012095108260810254,-0.09248436242341995
83,adagrad,0.001640703880255046,0.21239731492860167,-0.3299133777618408
26,rmsprop,0.00018603292698848446,0.006715836063160645,-0.6436068415641785
10,adagrad,0.0001,0.06377984159851077,-0.6443047523498535
26,rmsprop,0.00019795193547792218,0.0068892984936562264,-0.6707219481468201
94,rmsprop,0.0017909937393907646,0.012536971491294213,-0.7038732171058655
100,rmsprop,1.0,0.007727706283281123,-0.7781420946121216
60,adagrad,0.7755715105709912,0.07249504149296514,-0.815287172794342
100,adagrad,1.0,0.06493540106373183,-0.8906692266464233
70,rmsprop,0.2558494020380986,0.004397758760526298,-0.9322049617767334
48,sgd,0.0858948391315244,0.0067093043341010855,-0.9951713681221008
81,adagrad,1.0,0.2945505721289129,-0.9952017664909363
86,sgd,0.3427573823278098,0.0009428608843221951,-0.9974318742752075
93,sgd,0.3853650724850665,0.0017751564023203842,-0.9982612133026123
93,sgd,0.89494737858003,0.0001,-0.9991335868835449
100,sgd,0.8009379984193291,0.0001,-0.9991848468780518
76,sgd,0.5800695362203092,0.019028320644583433,-0.9992324113845825
73,sgd,0.5013442643773183,0.0010078257130152703,-0.9992915391921997
96,sgd,1.0,0.0003635231449854068,-0.9994513392448425
51,sgd,0.6594024725238257,0.019030477650843203,-0.9996679425239563
52,sgd,1.0,0.000521412918981184,-0.9997265338897705
41,sgd,1.0,0.0003736207241407395,-0.9997779130935669
10,sgd,1.0,0.0021331493191064344,-0.9999008178710938
14,sgd,0.5897947828001737,0.0019185056644140826,-0.9999033808708191
10,sgd,1.0,0.0020933655785312154,-0.9999262690544128
10,sgd,1.0,0.020655019543959794,-0.9999290108680725
26,sgd,1.0,0.0068687972698134704,-0.9999299645423889
68,sgd,0.43892756464430877,0.03488805168329024,-0.9999396204948425
10,sgd,1.0,0.002091863082948724,-0.9999499917030334
10,sgd,1.0,0.0020925779388799646,-0.9999549388885498
10,sgd,1.0,0.0022557368964605177,-0.9999561309814453
10,sgd,1.0,0.00209182190826118,-0.9999673366546631
10,sgd,1.0,0.02122691937055919,-0.9999681115150452
10,sgd,1.0,0.00209470535031868,-0.9999719262123108
10,sgd,1.0,0.002090503523053185,-0.9999723434448242
10,sgd,1.0,0.0021275424254958704,-0.9999748468399048
10,sgd,1.0,0.0020908853468675466,-0.9999771118164062
10,sgd,1.0,0.0021422360277286744,-0.9999821782112122
10,sgd,1.0,0.11836858506085336,-0.9999861121177673
