attn_heads,attn_layers,lin_dims,latent_dim,output_dim,disc_hdims,kaiming_constant,weighted_loss,dprob,neigh_dist,tr_batch_size,val_batch_size,test_batch_size,optimizer_gen,optimizer_gen__global__weight_decay,optimizer_gen__global__lr,optimizer_disc,optimizer_disc__global__weight_decay,optimizer_disc__global__lr,prot,ecfp8,weave,gconv,gnn,score
16,2,"[705, 103]",256,1,"[872, 823]",5,0.2821129867951942,0.3127305805343872,11,256,128,128,sgd,0.010843137252669636,0.0007287878498897244,rmsprop,0.0070568364357940765,0.00033811862782643054,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 406, 'fingerprint_size': 2238, 'num_layers': 2}",-0.15342642058298497
2,2,"[1020, 152]",256,1,"[304, 140]",5,0.3162853068004974,0.271767243265763,47,256,128,128,sgd,0.0026641572671298485,0.00039172043729832903,adamax,0.054610300978761954,0.7964049343223923,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 169, 'fingerprint_size': 2238, 'num_layers': 2}",-0.1676384799778987
8,1,"[64, 1048]",256,1,"[1048, 100]",5,0.5,0.1,4,256,128,128,sgd,0.0001,0.0001,adagrad,1.0,0.0001,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 512, 'fingerprint_size': 2238, 'num_layers': 3}",-0.19196597812450997
16,2,[1047],256,1,"[476, 468]",5,0.36789841472139206,0.4742156283224128,55,256,128,128,adam,0.012536971491294213,0.005940343723761342,adam,0.013729528906332032,0.4527391991788818,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 269, 'fingerprint_size': 2238, 'num_layers': 2}",-0.21138032078262597
8,2,[224],256,1,"[243, 782]",5,0.3208059645212029,0.2762699473064468,53,256,128,128,adagrad,0.03911998316929326,0.0038502568938722777,adagrad,0.0003142982713149064,0.005348920437462195,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 286, 'fingerprint_size': 2238, 'num_layers': 2}",-0.2628518906265442
2,2,[273],256,1,"[691, 238]",5,0.47361754940321454,0.19215280368911014,27,256,128,128,sgd,0.4011465571366191,0.025575275826421894,adadelta,0.0004029729456756331,0.625500167271232,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 75, 'fingerprint_size': 2238, 'num_layers': 2}",-0.2945954484789855
4,2,"[720, 406]",256,1,"[932, 287]",5,0.26493742262174047,0.3010773852287306,28,256,128,128,adagrad,0.22013690863231378,0.035747321342626495,sgd,0.43978762266796084,0.0017070755049874416,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 205, 'fingerprint_size': 2238, 'num_layers': 2}",-0.2992179470925966
16,1,"[706, 419]",256,1,"[641, 705]",5,0.15052595401795535,0.37608183510205817,43,256,128,128,adadelta,0.11296195782949037,0.002667637993848853,adamax,0.33524886680114824,0.00011134655242935615,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 287, 'fingerprint_size': 2238, 'num_layers': 1}",-0.30183976909050464
16,1,"[336, 282]",256,1,"[227, 983]",5,0.27923807806445083,0.4772651915172096,43,256,128,128,adam,0.9481076265502332,0.007777315229145612,rmsprop,0.017810134210116034,0.026759195156004945,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 95, 'fingerprint_size': 2238, 'num_layers': 3}",-0.3474125727231211
4,1,"[820, 579]",256,1,"[494, 919]",5,0.11826460315230546,0.3609511792750253,6,256,128,128,sgd,0.03431352185196262,0.016572521804293572,adagrad,0.00011913530758056776,0.09035405648338062,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 497, 'fingerprint_size': 2238, 'num_layers': 2}",-0.3777271265994473
4,2,"[389, 480]",256,1,"[1010, 540]",5,0.15588103871925513,0.3010727866146452,23,256,128,128,sgd,0.0007079111574662225,0.000417790651490006,adamax,0.0023528035648939013,0.06585322788742842,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 74, 'fingerprint_size': 2238, 'num_layers': 2}",-0.3889005920830145
1,1,[521],256,1,"[955, 376]",5,0.16012089974672422,0.3371020664490845,8,256,128,128,adam,0.0005331235307970096,0.00322064756335571,adam,0.00023950966135792985,0.012354406368209418,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 303, 'fingerprint_size': 2238, 'num_layers': 3}",-0.42111947940572686
8,1,[834],256,1,"[201, 326]",5,0.22815184851366785,0.47193248332562987,32,256,128,128,adadelta,0.18140382630973137,0.0009255516752704143,adagrad,0.01290419366801118,0.026099903941597866,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 183, 'fingerprint_size': 2238, 'num_layers': 2}",-0.4290664625493121
16,2,[173],256,1,"[881, 134]",5,0.3610406606453659,0.48493794624440767,30,256,128,128,sgd,0.05124042051758539,0.06875135303672394,adadelta,0.13814823453616606,0.0014167978377235804,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 210, 'fingerprint_size': 2238, 'num_layers': 3}",-0.4423551030218271
8,1,[991],256,1,"[823, 831]",5,0.2205441981639574,0.40909565871103093,13,256,128,128,adagrad,0.00010865056469534695,0.06857567450295776,adadelta,0.11438531722862783,0.007405778739206015,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 185, 'fingerprint_size': 2238, 'num_layers': 3}",-0.5100659916031295
8,2,[292],256,1,"[525, 233]",5,0.17289826893255644,0.26527296739635353,60,256,128,128,adam,0.33832708700374914,0.2259592968742924,adam,0.024788121618354295,0.0051839461198985,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 433, 'fingerprint_size': 2238, 'num_layers': 2}",-0.5416351530925302
2,2,[257],256,1,"[242, 783]",5,0.3337747167574482,0.2718311704416581,7,256,128,128,adagrad,0.00032071477642638986,0.02064322891274969,adam,0.000162107346167502,0.007690655301487121,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 165, 'fingerprint_size': 2238, 'num_layers': 3}",-0.562439403075595
4,2,[89],256,1,"[287, 613]",5,0.2296852017728816,0.3620863291271821,30,256,128,128,adagrad,0.0002522752855918841,0.20844846003578404,sgd,0.00015715814192766733,0.006746287639557376,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 163, 'fingerprint_size': 2238, 'num_layers': 3}",-0.5833714935279659
8,2,[860],256,1,"[801, 487]",5,0.48813445262761934,0.380236076924647,12,256,128,128,rmsprop,0.005052345062672191,0.0035635465449678034,rmsprop,0.038188862184074086,0.0001282688085073709,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 373, 'fingerprint_size': 2238, 'num_layers': 1}",-0.6220403581711985
16,1,[338],256,1,"[915, 113]",5,0.4298289653029216,0.10222720290093097,15,256,128,128,adadelta,0.6689815855165232,0.00017124915263912367,rmsprop,0.4112431259543063,0.8991918865141074,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 401, 'fingerprint_size': 2238, 'num_layers': 2}",-0.6473147013685241
1,1,[1048],256,1,"[100, 100]",5,0.1,0.5,4,256,128,128,adamax,0.0001,1.0,adam,1.0,1.0,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 64, 'fingerprint_size': 2238, 'num_layers': 1}",-0.8660757523340775
8,2,[815],256,1,"[373, 492]",5,0.35067323298143727,0.2700986942760819,37,256,128,128,adagrad,0.0008613503987419189,0.3855048678772628,adamax,0.0005525359339296069,0.023491298939998455,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 182, 'fingerprint_size': 2238, 'num_layers': 2}",-1.3898207520303454
1,1,[746],256,1,"[553, 424]",5,0.4698922664141847,0.46470281565454863,46,256,128,128,rmsprop,0.015692122046241954,0.7679926685079105,adamax,0.017082685451860116,0.07360940279656789,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 235, 'fingerprint_size': 2238, 'num_layers': 2}",-78.5800124037427
4,1,[971],256,1,"[299, 977]",5,0.26681042912098285,0.1558851593392589,10,256,128,128,rmsprop,0.0015535738150066246,0.631641891192688,adadelta,0.003509167491181112,0.44428098829015705,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 368, 'fingerprint_size': 2238, 'num_layers': 3}",-118.82884878297668
4,2,[613],256,1,"[686, 179]",5,0.3959713224242889,0.23433138934977674,43,256,128,128,sgd,0.0006088902787325013,0.03712140915238235,sgd,0.09421590105419665,0.008836525383212892,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 75, 'fingerprint_size': 2238, 'num_layers': 4}",-8000.074799610646
8,2,"[225, 853]",256,1,"[542, 901]",5,0.13834353815296624,0.23120671539493926,40,256,128,128,sgd,0.029879446658996913,0.8695393143561163,sgd,0.007863301871986219,0.00021418649706708449,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 236, 'fingerprint_size': 2238, 'num_layers': 1}",-10000.0
16,2,"[99, 708]",256,1,"[223, 379]",5,0.24432590177089114,0.20985806048897876,8,256,128,128,sgd,0.0004430717892527261,0.5686522983801429,adadelta,0.00015851572215002418,0.09200728657732864,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 198, 'fingerprint_size': 2238, 'num_layers': 2}",-10000.0
8,2,"[1048, 64]",256,1,"[153, 1048]",5,0.1,0.5,25,256,128,128,sgd,0.00022982297458176536,1.0,adamax,1.0,0.06431306500962808,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 271, 'fingerprint_size': 2238, 'num_layers': 4}",-10000.0
