latent_dim,optimizer,optimizer__global__weight_decay,optimizer__global__lr,score
12,sgd,0.03318594168929944,0.0001,-0.05939934775233269
10,sgd,0.04816934824597825,0.19811514634635316,-0.05939962714910507
10,sgd,0.04021342375655342,0.003027961217459472,-0.059399768710136414
12,sgd,0.052758884514955584,0.004291580324806679,-0.059400010854005814
13,sgd,0.08037219767916605,0.017934734167178466,-0.05940021574497223
100,adagrad,1.0,1.0,-0.05940043181180954
10,sgd,0.7370386247430639,0.0002965684472660791,-0.059400562196969986
10,sgd,0.07713860150760396,0.0001,-0.05940060317516327
10,sgd,1.0,0.010375081862880598,-0.05940072238445282
10,sgd,0.06809277379289183,0.006659861481068015,-0.0594007633626461
11,sgd,0.11988457059064966,0.01248221200251298,-0.059400834143161774
10,sgd,1.0,0.008885593785086224,-0.059401046484708786
10,rmsprop,1.0,0.0654949865757179,-0.059401120990514755
10,sgd,0.08819934102532716,0.0067609666856259815,-0.05940134450793266
54,sgd,1.0,0.004518667943743571,-0.05940181016921997
10,sgd,0.03776664326224503,0.7052835110116014,-0.05940568447113037
54,sgd,1.0,0.004975857364245393,-0.05940612778067589
15,sgd,0.04039191043402927,0.7913445970949794,-0.059412065893411636
100,adagrad,1.0,0.19448876852535557,-0.05942182242870331
57,rmsprop,0.868439609969071,0.015663296571920008,-0.05943033844232559
35,sgd,0.01927908156989673,0.0002918949147762599,-0.059464018791913986
73,rmsprop,1.0,0.010257346123165048,-0.0594697967171669
10,rmsprop,1.0,0.006509888885241091,-0.05951256677508354
10,sgd,0.04735443469085766,0.8075071516049782,-0.05956762656569481
100,rmsprop,1.0,0.007636909814246107,-0.05967249721288681
29,rmsprop,0.8174514096175617,0.004087645380170176,-0.060653623193502426
48,sgd,0.005369761580981932,0.047621635019338554,-0.06847692281007767
10,sgd,0.0001,0.0001,-0.06868241727352142
10,sgd,0.0005226315943359684,0.0001,-0.06873581558465958
10,sgd,0.0001,0.007901496495663043,-0.06931562721729279
10,sgd,0.0001,0.0001,-0.07096129655838013
10,sgd,0.0001,0.0001,-0.07132254540920258
10,sgd,0.0001,0.0001,-0.07220090180635452
10,sgd,0.0001,0.014470666710785129,-0.0727173238992691
10,sgd,0.0001,0.0004953181440315579,-0.07318244874477386
10,sgd,0.0001,0.0007361779762513609,-0.07341461628675461
10,sgd,0.0001,1.0,-0.0738396868109703
10,sgd,0.0001,0.0004472015687987292,-0.07478669285774231
10,sgd,0.0001,1.0,-0.07508518546819687
10,sgd,0.0001,0.007848592103676758,-0.07547162473201752
71,adagrad,0.03801917403916797,0.17258953003842292,-0.09343928843736649
17,sgd,0.00016842658751282228,0.11253358404006059,-0.09505163133144379
10,adagrad,0.06740997851823333,0.03738760382299528,-0.10550761967897415
70,rmsprop,0.2558494020380986,0.004397758760526298,-0.11922459304332733
24,sgd,0.00016639470625943404,0.0656015460359169,-0.12345366925001144
25,adadelta,0.7358857082415637,0.6186231256404243,-0.12728431820869446
77,rmsprop,0.25140510154976514,0.004087440086734419,-0.14842645823955536
10,adagrad,0.08015005734712824,0.007272583477881585,-0.14977650344371796
32,sgd,0.0003363597191252579,0.0001,-0.15927812457084656
15,adamax,0.023564708574338584,0.048597775414579956,-0.16864436864852905
71,sgd,0.0021406864755936952,0.0012526187050480074,-0.17729085683822632
10,adam,0.004254759063548318,0.0002476830007953284,-0.2049058973789215
41,sgd,0.8215098637274256,0.6081118535435324,-0.22143490612506866
37,sgd,0.0001,0.0008216776441830265,-0.22586578130722046
10,rmsprop,0.00478902476433982,0.0016090122210631048,-0.22955435514450073
12,rmsprop,0.6218637031391001,0.00048045228451768315,-0.23141221702098846
85,adagrad,0.6535496795691167,0.018297382290843222,-0.23726220428943634
20,adagrad,0.00017989528186110478,0.008262497464682642,-0.25605830550193787
18,adagrad,0.0016859994916247464,0.047933137746955685,-0.27978265285491943
20,adagrad,0.0001,0.02466265714814026,-0.29714852571487427
50,adagrad,0.6036923296458963,0.011337337637089996,-0.29872986674308777
10,adam,0.0041955757985503534,0.0001653157161334491,-0.3130546510219574
72,rmsprop,0.021702502222552884,0.011245027744144563,-0.3233563005924225
58,sgd,0.0005432783788507263,0.00028367153371744566,-0.35023507475852966
37,adagrad,0.020787137417240358,0.013082251154875223,-0.4279128313064575
38,adagrad,0.0001,0.009163928915074018,-0.45222729444503784
10,adadelta,0.0001935066543104871,0.2972248029760615,-0.45808541774749756
67,rmsprop,0.9414778522697338,0.0008212266891865594,-0.5024580955505371
26,rmsprop,0.00018603292698848446,0.006715836063160645,-0.509670078754425
63,sgd,0.0002352634998955606,0.0014383632378920583,-0.515400230884552
34,adagrad,0.00018824068883312436,0.00510095078559772,-0.5305561423301697
10,adam,0.004039908883801945,0.048270629847602345,-0.5321521162986755
10,adadelta,0.0041372026449511285,0.4627185026255281,-0.5360264778137207
74,adagrad,0.5270334691012089,0.009083356848175208,-0.5429679751396179
13,adadelta,0.00020264344986400942,0.0003530828738089706,-0.5561292171478271
