latent_dim,optimizer,optimizer__global__weight_decay,optimizer__global__lr,score
83,adagrad,0.001640703880255046,0.21239731492860167,-0.00824854988604784
100,sgd,1.0,1.0,-0.010001315735280514
10,sgd,1.0,0.0001,-0.010001316666603088
100,sgd,1.0,1.0,-0.010001316666603088
100,sgd,1.0,1.0,-0.010001316666603088
100,sgd,1.0,1.0,-0.010001316666603088
100,sgd,1.0,1.0,-0.010001316666603088
41,sgd,0.740514688361437,0.00879736203042711,-0.010001336224377155
92,sgd,0.12239702897727356,0.0005042249906277291,-0.010001366958022118
10,sgd,0.07808505170204907,1.0,-0.010001419112086296
29,sgd,0.11541862574496138,0.37521699422219484,-0.010001607239246368
22,adagrad,0.6927089988807749,0.9988213283929782,-0.010001701302826405
74,adagrad,1.0,1.0,-0.01000178512185812
77,adagrad,0.7459984646840184,1.0,-0.010001884773373604
100,adagrad,1.0,0.9098698383585451,-0.0100018959492445
10,rmsprop,1.0,0.0691685392771057,-0.010002376511693
97,adagrad,0.42596548894057007,0.7845487224599867,-0.010002641007304192
100,adagrad,1.0,0.5835076667508615,-0.010003023780882359
100,adagrad,1.0,0.5735351243701592,-0.010003061033785343
75,adagrad,0.0459331328644894,1.0,-0.01000391785055399
10,rmsprop,1.0,0.04044733001579132,-0.010004623793065548
10,sgd,1.0,0.0031320623130283447,-0.010005459189414978
10,adamax,1.0,0.11407024169572864,-0.010006054304540157
100,adagrad,1.0,0.39474506764575373,-0.010006386786699295
10,adagrad,0.16955440547378262,0.5002374636355323,-0.010007016360759735
100,adagrad,1.0,0.3637967126732697,-0.010007166303694248
60,rmsprop,1.0,0.028512146380707235,-0.010007917881011963
10,sgd,1.0,0.023163242670171693,-0.010009432211518288
100,adagrad,1.0,0.2930213358344844,-0.01001069601625204
33,rmsprop,1.0,0.020628430744806237,-0.010011982172727585
10,adagrad,0.23357343928327945,0.33749410178037054,-0.010011991485953331
100,sgd,0.025869016897996318,0.0001,-0.010014010593295097
78,adagrad,1.0,0.20762323400174632,-0.010020103305578232
10,rmsprop,1.0,0.011029839545758943,-0.010027728043496609
10,sgd,1.0,0.025763019326804644,-0.010035168379545212
10,rmsprop,0.08301266286641663,0.02033620756391655,-0.010037529282271862
100,adamax,1.0,0.01938322458704212,-0.010049407370388508
65,rmsprop,1.0,0.006500290240137674,-0.010057463310658932
10,adadelta,1.0,1.0,-0.010065863840281963
10,adadelta,1.0,1.0,-0.010066790506243706
10,adadelta,1.0,0.7858992711258319,-0.010094840079545975
21,adadelta,1.0,1.0,-0.010096205398440361
39,adagrad,0.020915307217539154,0.2999213294351724,-0.010135551914572716
83,sgd,1.0,0.041421893374153355,-0.01023083459585905
10,adagrad,0.2651325278586323,0.07352015512711475,-0.010276848450303078
100,adagrad,1.0,0.07108781073409422,-0.010300178080797195
10,sgd,1.0,0.024499618598138217,-0.010339213535189629
100,adadelta,1.0,1.0,-0.01037441473454237
10,sgd,0.0018786995243901224,0.036135909811302214,-0.010389452800154686
100,adagrad,0.03906976096757419,0.1829717742697302,-0.010390577837824821
31,sgd,0.08334912345165141,0.3674681841679283,-0.01054981630295515
100,adagrad,1.0,0.04889711251328171,-0.010623865760862827
10,adagrad,0.00478087158570875,1.0,-0.010631347075104713
10,sgd,0.0001,0.0001,-0.010960865765810013
70,rmsprop,0.2558494020380986,0.004397758760526298,-0.01096993125975132
10,adadelta,1.0,0.2582754471980165,-0.011107020080089569
100,sgd,0.0588817008239836,0.6570125021358989,-0.012368395924568176
56,adagrad,1.0,0.029330610237722283,-0.01452670432627201
15,adamax,0.023564708574338584,0.048597775414579956,-0.015079768374562263
71,sgd,0.0021406864755936952,0.0012526187050480074,-0.018643880262970924
56,sgd,1.0,0.06930952826484066,-0.02087572030723095
94,rmsprop,0.0017909937393907646,0.012536971491294213,-0.03082316555082798
69,rmsprop,0.0004575747309859833,0.04933771339290254,-0.037952352315187454
56,sgd,0.0001,0.0015603141223174434,-0.04453069716691971
76,rmsprop,0.10329368087692495,0.0035231748994894964,-0.045738447457551956
42,rmsprop,0.012563376797545192,0.009713372542866366,-0.05023276433348656
49,sgd,0.0001,1.0,-0.058482423424720764
30,rmsprop,0.006247339903638791,0.011213729953392811,-0.06466402858495712
88,rmsprop,0.0003855659884711411,0.06398993314856623,-0.07604032009840012
100,sgd,0.0003182191704694145,0.0004525909955548032,-0.09898258745670319
12,adamax,0.17751133685765152,0.0008804357721096822,-0.10586286336183548
24,adagrad,0.0013402165041007073,0.20732298893212137,-0.10870357602834702
10,adagrad,0.0001,0.011829052400349703,-0.108890101313591
100,sgd,0.00014134056395509383,0.06450759070357556,-0.11282141506671906
100,sgd,0.0001,0.0005539087511633078,-0.11919456720352173
10,rmsprop,0.00013900092373685441,0.005493478062681339,-0.1501818299293518
85,adagrad,0.6535496795691167,0.018297382290843222,-0.18580816686153412
14,adamax,0.005613781082206914,0.011497443883799996,-0.20138956606388092
14,adam,1.0,0.0015997091175384008,-0.20385625958442688
20,adagrad,0.00017989528186110478,0.008262497464682642,-0.20755328238010406
10,adagrad,0.0001,0.38328128397640426,-0.23053939640522003
60,rmsprop,0.36873061891093445,0.0006292053964986811,-0.24137865006923676
10,rmsprop,0.0018343018744024734,0.0007373452118081903,-0.24753199517726898
10,rmsprop,0.0001,0.0007711913317955564,-0.25061696767807007
10,adagrad,0.0001,1.0,-0.29194968938827515
10,adagrad,0.0001,1.0,-0.29698917269706726
10,adagrad,0.0001,0.6139302356629611,-0.3022160232067108
50,adagrad,0.6036923296458963,0.011337337637089996,-0.3182973563671112
26,rmsprop,0.00018603292698848446,0.006715836063160645,-0.3696516156196594
88,adamax,0.20816774494442988,0.001236516445710446,-0.4232962429523468
11,adam,0.0032364425030591407,0.18443575882685892,-0.6838905811309814
21,rmsprop,0.0016777379995110459,0.000230934392255259,-0.7177672982215881
47,adam,0.0014405175781017213,0.0003702376169277349,-0.779966413974762
47,rmsprop,0.05017890138380393,0.00047889118236448284,-0.8457154035568237
10,adadelta,0.0004329897052681896,0.015480148622285741,-0.8473693132400513
10,adadelta,0.0001,0.0017404824753748753,-0.8831984400749207
10,adadelta,0.0001,0.14641519144718,-0.8924390077590942
53,rmsprop,0.0001641508505759989,0.00117194854547623,-1.0962892770767212
13,adadelta,0.00020264344986400942,0.0003530828738089706,-1.1426717042922974
45,adadelta,0.10191498904762981,1.0,-1.2938259840011597
51,adadelta,0.5708357416333588,0.12988438590259566,-1.3224084377288818
91,rmsprop,0.003987067362716085,0.001612521396370579,-1.3415701389312744
80,rmsprop,0.00013854270354588945,0.01981066817569148,-1.3725801706314087
10,rmsprop,0.0001,0.0001,-1.3900032043457031
10,rmsprop,0.0001,0.0001,-1.490829348564148
55,adagrad,0.14921987301109485,0.005812106405795676,-1.5101279020309448
36,adamax,0.0015939403711004595,0.0005380358086027842,-1.623599648475647
38,adam,0.2312210373688458,0.04455901244157673,-1.6248936653137207
100,rmsprop,0.0001,0.005212340543876817,-1.6705739498138428
53,adadelta,1.0,0.028772307784423815,-1.9258980751037598
100,adamax,1.0,1.0,-2.026270866394043
46,adamax,0.00012165368823983387,0.0025777926276072845,-2.2478187084198
10,adagrad,1.0,0.0023743839515870295,-2.5614678859710693
31,adadelta,0.0035615821384587594,0.04775118430165602,-2.9329307079315186
48,adagrad,0.11594491408425192,0.004052289393762669,-3.4642586708068848
92,adadelta,0.9291026955765661,0.02339110923113158,-3.6498701572418213
74,adamax,0.00023507326237921935,0.011819801843969018,-3.740130662918091
50,adam,0.013729528906332032,0.4527391991788818,-3.803513765335083
100,adadelta,0.546654885672566,0.05835443028933084,-3.854417562484741
97,adamax,0.0012941358425813258,0.003113726855658624,-4.0775299072265625
99,adam,1.0,0.07454129124570709,-4.649153232574463
51,adadelta,0.02490689786811763,0.07130690666817659,-4.882592678070068
28,adamax,0.0001,0.0001,-5.114367485046387
100,adamax,0.0001,0.012099287835996519,-5.926363945007324
80,adadelta,0.00013698885785105936,0.03134151212422868,-6.889862537384033
95,adadelta,0.0001,1.0,-8.447117805480957
65,adam,0.0002702708801647307,0.7117344118285446,-8.941551208496094
10,adagrad,0.0001,0.0001,-9.11512565612793
58,rmsprop,0.6871276992190373,0.0001,-9.334883689880371
87,adadelta,0.01832982854229139,0.0054190652407225485,-9.383638381958008
10,adagrad,1.0,0.0001,-9.430334091186523
10,rmsprop,0.2842205532050584,0.9244454817845315,-9.788620948791504
92,adadelta,0.017531153913410157,0.004881950503900427,-9.795193672180176
10,rmsprop,1.0,1.0,-10.034234046936035
10,rmsprop,0.015749794850336424,1.0,-10.239102363586426
14,rmsprop,1.0,1.0,-14.003863334655762
92,adamax,0.01166454536160479,0.0001,-15.573044776916504
100,rmsprop,1.0,0.0001,-15.902320861816406
100,rmsprop,1.0,0.0001,-16.17319679260254
100,rmsprop,1.0,0.0001,-16.216323852539062
18,adagrad,1.0,0.0001,-17.002473831176758
21,rmsprop,0.5955495990382936,0.6968253526982257,-21.33164405822754
79,adagrad,0.28222833112111034,0.0019945394905726836,-23.05280876159668
60,adadelta,0.000370587530359548,0.0001,-23.07349967956543
43,adagrad,1.0,0.00023204445130993792,-37.8986701965332
43,adagrad,0.004848839589156662,0.0001334460583601385,-39.40556716918945
61,adagrad,0.001343763988543764,0.000385786950485228,-45.83101272583008
65,rmsprop,0.07409912226106855,0.5492207590611754,-65.56856536865234
100,adadelta,1.0,0.0001,-93.93294525146484
100,rmsprop,0.00032546012860767216,0.9912017526620899,-99.27349090576172
