seed,objective,max_depth,subsample,colsample_bytree,n_estimators,gamma,reg_lambda,learning_rate,score
1,reg:squarederror,10,1.0,0.5,50,0.1,0.7427012361969033,0.1078028400493326,0.1901015058534285
1,reg:squarederror,10,1.0,0.5,200,0.1,0.1,0.055946220496595075,0.18981684045905298
1,reg:squarederror,8,1.0,0.5,50,0.1,1.0,0.08408333012181321,0.18748289529241305
1,reg:squarederror,10,1.0,0.5,200,0.1,0.28564697864490285,0.009028047874592954,0.18188573385754617
1,reg:squarederror,10,1.0,0.5,200,0.1,1.0,0.005787822723399326,0.18022436987105736
1,reg:squarederror,10,0.9803904929108003,0.9030320593516322,147,0.37338179616986866,0.8486085299965049,0.042481220392973834,0.1789532500724763
1,reg:squarederror,9,1.0,0.5,50,1.0,0.10672072525478994,0.08724465997263517,0.178333089286318
1,reg:squarederror,10,0.9662786796693295,0.5640622239646784,200,0.3124800792567785,0.45692265456642367,0.0035615821384587594,0.1769626905645026
1,reg:squarederror,10,1.0,0.851696891760561,200,0.1,1.0,0.13948764066009478,0.17540984768626025
1,reg:squarederror,8,0.813316438135945,0.7498679286790584,161,0.5109878107591305,0.6550810937547864,0.045835128289308386,0.17537179120861202
1,reg:squarederror,8,0.9569810122896165,0.7286024039934942,115,0.9452150104812633,0.8005503127028804,0.07309405637964052,0.17440928228427413
1,reg:squarederror,8,0.9782678283352613,0.6304894898077784,85,0.5801036415446579,0.9549443246793758,0.009380767542427013,0.17422127431167897
1,reg:squarederror,8,1.0,0.5512881669172026,63,0.1,0.1,0.014137331136321154,0.17100060721785978
1,reg:squarederror,9,0.7759059876039345,0.9313250759611238,99,0.6538922636247121,0.8773915811032329,0.07409912226106855,0.1685334732890326
1,reg:squarederror,9,0.6735294019093568,0.7929124990294619,180,0.9295157109295085,0.250905663821241,0.012184211305069303,0.16732112396119111
1,reg:squarederror,10,0.7235956944284113,1.0,108,1.0,0.1,0.005798344453917853,0.1664619866658184
1,reg:squarederror,10,0.5,1.0,50,0.1,1.0,0.016552600080518728,0.16561822459923436
1,reg:squarederror,8,0.6503090088148817,0.591351397599812,116,0.5778907519152122,0.9506835230181405,0.011337337637089996,0.16362901110996383
1,reg:squarederror,10,0.5,0.5,50,0.1,1.0,0.08284353476468317,0.15996089925421847
1,reg:squarederror,9,1.0,0.7533861330452294,200,1.0,0.1,0.005211153001030627,0.15957745844975474
1,reg:squarederror,7,0.9360442924439603,0.9632191976731885,72,0.7313751227021666,0.46240963295949344,0.18752704775143597,0.15701341650063755
1,reg:squarederror,9,0.5825577541321126,0.836647377224432,77,0.9097131086840834,0.16065770931654483,0.006715836063160645,0.15666226722361817
1,reg:squarederror,7,0.6626909408823097,0.8899471519049313,151,0.407886882359796,0.2257568618435269,0.033783819407076573,0.1563669090861221
1,reg:squarederror,8,0.5418115022735132,0.9584306672648644,187,0.36903710098874454,0.6259502086641363,0.01835050877999231,0.15219777519879812
1,reg:squarederror,7,0.778625381387855,0.9511791073655429,184,0.27972829872453386,0.4268560932402319,0.16446106594739213,0.151188883547467
1,reg:squarederror,7,1.0,1.0,50,0.1,0.1,0.029619300975181048,0.1510726899692447
1,reg:squarederror,10,1.0,1.0,50,1.0,0.1,0.014728282394028838,0.14948469158601668
1,reg:squarederror,10,1.0,1.0,200,1.0,0.1,0.00978294603885956,0.14763361713688944
1,reg:squarederror,8,1.0,1.0,110,1.0,0.1,0.0492118689819434,0.1458742804198797
1,reg:squarederror,7,0.7373569519335614,0.6252408966992713,176,0.8611341236720227,0.7504009454723307,0.005862598877182298,0.1426283774498448
1,reg:squarederror,10,0.5,1.0,50,1.0,0.1,0.049234505915958245,0.139980173835086
1,reg:squarederror,6,1.0,0.6258796712797863,50,0.1,0.1,0.016966165551858887,0.13905655105898365
1,reg:squarederror,7,0.5,0.5,200,1.0,1.0,0.048398470353503205,0.1310932240492824
1,reg:squarederror,5,1.0,0.5,50,1.0,1.0,0.08313531035626998,0.12869784098735798
1,reg:squarederror,8,0.8827425522204355,0.5226728642873266,71,0.8131632272164174,0.12682122236415394,0.3408018183470354,0.12707706427869878
1,reg:squarederror,5,1.0,0.6076570230853912,200,0.1,0.640369501874839,0.07963677547777623,0.12676306718437574
1,reg:squarederror,5,0.7753244041113376,0.6106195906181556,111,0.7307278676872796,0.21843322478949684,0.014747891931287593,0.11785372442100113
1,reg:squarederror,5,1.0,1.0,200,1.0,1.0,0.06908958486806444,0.1120287525977695
1,reg:squarederror,5,0.7245892182219325,0.5383415713009236,71,0.6998630687924032,0.9857018369305011,0.2558494020380986,0.10494109722822884
1,reg:squarederror,5,0.619719787944833,0.6887584869967986,172,0.4801157214511851,0.65082999980019,0.11594491408425192,0.10472183919302516
1,reg:squarederror,9,0.546400404320369,0.7590762744709445,180,0.8462322166304276,0.8466430234547655,0.001236516445710446,0.09093276270206681
1,reg:squarederror,8,0.5608538017747255,0.6663191331613241,91,0.6133103973250399,0.6941086392471457,0.001343763988543764,0.07719134467433249
1,reg:squarederror,8,0.967769535403016,0.9231554583430086,97,0.5720933436155844,0.49910760440160107,0.0008285311763978988,0.04454622220326576
1,reg:squarederror,6,0.8916572363474432,0.7062694207515131,55,0.661626987829618,0.6945721572142027,0.0015630799020950954,0.030788006553736768
1,reg:squarederror,10,0.916006924197905,0.761320466990584,193,0.6090375164439349,0.21372810416583593,0.7405174010133143,0.01649221807843253
1,reg:squarederror,5,1.0,1.0,50,1.0,1.0,1.0,0.010937619428141598
1,reg:squarederror,5,1.0,0.8061417888078801,173,0.1,1.0,1.0,0.010026633610000446
1,reg:squarederror,10,1.0,0.5,200,0.1,1.0,1.0,0.00603400052783416
1,reg:squarederror,8,0.516469528732627,0.952803260796415,84,0.6129420416471966,0.335131233446457,0.0005287481037566202,-0.010227839995770528
1,reg:squarederror,5,0.6764059971611016,0.741062041274664,181,0.14842970592469684,0.34050442248007323,0.0014742457760701217,-0.01659043724162812
1,reg:squarederror,5,0.8352640200344728,0.7965327591490285,151,0.47060909107214777,0.2777958081863031,0.0014405175781017213,-0.017383193852289525
1,reg:squarederror,6,0.5826491186180645,0.5618095935877225,62,0.6519975428162044,0.6806886081366533,0.0005310470633936806,-0.08070668515828197
1,reg:squarederror,7,0.6110622737676874,0.5366820858712998,120,0.18655503440091553,0.9130331498309808,0.0003005812401328972,-0.12371409758159035
1,reg:squarederror,7,0.506703049197407,0.5129574776992807,91,0.804909394437785,0.9484571462626369,0.00029444242586908653,-0.129515065519695
1,reg:squarederror,6,0.5569051625957554,0.8326407924333807,60,0.5313500513272071,0.683893591488004,0.0003564898891171144,-0.13194261670828228
1,reg:squarederror,10,0.5,1.0,200,0.1,0.30635307371464393,1.0,-0.2521385641524613
