prot_dim,fp_dim,gconv_dim,hdims,disc_hdims,kaiming_constant,weighted_loss,dprob,neigh_dist,tr_batch_size,val_batch_size,test_batch_size,optimizer_gen,optimizer_gen__global__weight_decay,optimizer_gen__global__lr,optimizer_disc,optimizer_disc__global__weight_decay,optimizer_disc__global__lr,score
8421,1024,256,"[3282, 855, 3530]",[1550],5,0.777509517858044,0.8932076466706101,6,128,128,128,sgd,0.14054192503602786,0.0001804136194320147,adadelta,0.585258587762502,0.0033053172266025617,-0.5881376175339061
8421,1024,512,"[4584, 3084]",[1417],5,0.9703373337180362,0.1439845475845553,57,128,128,128,adamax,0.3344065785018019,0.17295105487498275,adadelta,0.0015215113685617075,0.9063482835640728,-0.675485120432511
8421,1024,512,"[4398, 2860, 4864]","[1462, 825]",5,0.5356584336508409,0.7201888186374709,109,128,128,128,adamax,0.0016720331696044295,0.09084021808216636,adadelta,0.7609296838975311,0.06343964867898269,-0.8575655213070075
8421,1024,128,"[2832, 2179, 4365]",[1202],5,0.517818512190826,0.43254487103788963,24,128,128,128,rmsprop,0.000269773458090228,0.007148502270305079,adamax,0.007752064359275156,0.000196399019991155,-1.0717289767715976
8421,1024,512,"[4519, 1039, 3450]","[228, 968]",5,0.12657511386432652,0.5042605927994785,14,128,128,128,adagrad,0.8638783867320292,0.2558494020380986,adadelta,0.01694349703930447,0.4068486309460976,-1.5344806025602509
8421,1024,512,"[1352, 2787]","[1554, 186]",5,0.225969507272543,0.8131632272164174,9,256,128,128,adagrad,0.006193280151842268,0.3702912826012853,adadelta,0.014246191473875808,0.04066263594599479,-3.0556641261847
8421,1024,256,"[3167, 2506, 2137]",[1451],5,0.5387364077453791,0.5370338175716983,80,128,128,128,rmsprop,0.009065135912949225,0.12620713847511267,sgd,0.08353366422935002,0.008911847670732708,-8.90211788521211
8421,1024,512,"[864, 4995, 1376, 2137]",[1373],5,0.8616798250174156,0.3819461652390477,70,128,128,128,adam,0.013729528906332032,0.4527391991788818,adadelta,0.005281949792845922,0.5708357416333588,-36.26778522426021
8421,1024,512,"[4348, 1798, 3176]","[1876, 1681]",5,0.5703768405830513,0.9584376863634796,75,128,128,128,rmsprop,0.5955495990382936,0.6968253526982257,adamax,0.03979768533062369,0.001640703880255046,-77.6236856508184
8421,1024,128,"[2276, 2097, 4971, 3318]",[1412],5,0.4479489656762575,0.28800939975008216,112,256,128,128,rmsprop,0.08652677506166412,0.3353429545421547,adamax,0.0001466531215551154,0.3430052639504813,-244.43405488064028
8421,1024,256,"[3471, 4814, 3214]","[448, 704]",5,0.6001301495799926,0.6675352544774319,116,128,128,128,adadelta,0.0005295038493847817,0.008612106739744463,adamax,0.000873792795417426,0.03496308316551314,-8000.058429781004
8421,1024,128,"[2598, 4877]","[630, 974]",5,0.3498875386445651,0.19354163967458604,116,256,128,128,rmsprop,0.0021014855048680984,0.004778720833021106,adadelta,0.002464806836221887,0.00011181393901632853,-8000.146221720608
8421,1024,256,[755],"[1522, 578]",5,0.7841865562361489,0.7884434754960915,120,128,128,128,adamax,0.0034099149933956153,0.009011110661957877,adam,0.030248892038077617,0.0001253823786669425,-10000.0
8421,1024,128,"[2442, 4071, 4898]",[927],5,0.6291345442642889,0.7309973404100736,128,256,128,128,sgd,0.0005172136311768377,0.000340722632477214,rmsprop,0.0027986294358938388,0.08177231645771765,-10000.0
8421,1024,128,[2670],[1552],5,0.16683259002235987,0.18587732372790577,25,128,128,128,sgd,0.0003741554061027803,0.5297265409666388,adagrad,0.22833939986113466,0.03112923523282564,-10000.0
8421,1024,128,"[3643, 507, 3538, 1884]","[1465, 636]",5,0.6357833826944835,0.5048594463689715,125,128,128,128,rmsprop,0.04304315597598594,0.00019487617964976858,adamax,0.7662730170477308,0.00021244659960965853,-10000.0
8421,1024,512,"[1978, 2255, 1200]","[1979, 1057]",5,0.3428910742879707,0.241671723207848,117,128,128,128,adagrad,0.002280597311675843,0.00020622056859079596,adamax,0.08329937425861186,0.004798106488674904,-10000.0
8421,1024,512,[2040],[1993],5,0.40637943035341784,0.6017207055294654,66,256,128,128,sgd,0.008461075344028101,0.02222545319384384,sgd,0.0014038340019210075,0.007957360095786185,-10000.0
8421,1024,512,"[3659, 3164]",[914],5,0.23800463012761702,0.9434712919600062,118,256,128,128,adagrad,0.00013931495708565826,0.04142810676071041,sgd,0.0015046583533251498,0.002774974634710404,-10000.0
8421,1024,256,"[3755, 2422]",[125],5,0.34405697053927387,0.804909394437785,121,128,128,128,adamax,0.8197408898515477,0.09703459498497519,adadelta,0.00029517160835555424,0.1350748104116592,-10000.0
8421,1024,256,[4780],"[430, 1757]",5,0.24087849853337617,0.4557990522922133,111,256,128,128,sgd,0.14717654812847947,0.13062887583622498,rmsprop,0.00019679477634123444,0.0002853330038460207,-10000.0
8421,1024,256,"[4385, 3268, 1410]",[754],5,0.719474790518768,0.9414243282510272,120,128,128,128,adadelta,0.21550217047426182,0.0007549972264084048,adadelta,0.006361790431782456,0.015629971981038427,-10000.0
8421,1024,128,[4727],"[1689, 1997]",5,0.19233336835419085,0.4340508385759754,117,128,128,128,adamax,0.000819845223345224,0.48380416624446426,adadelta,0.0001363752195683339,0.0003998992770113302,-10000.0
