explain_mode,attn_heads,attn_layers,lin_dims,output_dim,latent_dim,kaiming_constant,dprob,tr_batch_size,val_batch_size,test_batch_size,optimizer,optimizer__global__weight_decay,optimizer__global__lr,prot,ecfp8,weave,gconv,gnn,score
False,16,2,[246],1,256,5,0.4251979881543896,128,128,128,adamax,0.028300386771202637,0.005100811831211928,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 401, 'fingerprint_size': 2238, 'num_layers': 2}",-0.17730531846914527
False,1,2,[1072],1,512,5,0.1689113408919577,128,128,128,sgd,0.010945638802254014,0.000256177468757563,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 193, 'fingerprint_size': 2238, 'num_layers': 2}",-0.19878884347890363
False,2,3,[2045],1,256,5,0.14663683322661047,256,128,128,adadelta,0.01884411281310001,0.5492603505546874,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 90, 'fingerprint_size': 2238, 'num_layers': 4}",-0.20723050839509374
False,16,2,"[1280, 1247]",1,256,5,0.35723312964421783,256,128,128,adadelta,0.2063881157812086,0.18086294456650487,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 280, 'fingerprint_size': 2238, 'num_layers': 2}",-0.20792949448218634
False,8,1,[178],1,256,5,0.2321788876861698,128,128,128,adadelta,0.24555111504753488,0.4588732302211073,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 463, 'fingerprint_size': 2238, 'num_layers': 1}",-0.2282961507297901
False,1,3,[1934],1,256,5,0.11040470514432404,128,128,128,adadelta,0.00026706376973100127,0.0021953338204151857,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 384, 'fingerprint_size': 2238, 'num_layers': 4}",-0.2315530881411826
False,4,2,[1067],1,256,5,0.33816386549463023,256,128,128,adagrad,0.026149604079815217,0.006229802437744206,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 266, 'fingerprint_size': 2238, 'num_layers': 2}",-0.23191972803291555
False,4,3,"[1263, 501, 986]",1,512,5,0.16558636553328948,256,128,128,adam,0.036178704806682095,0.0031610264797897964,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 131, 'fingerprint_size': 2238, 'num_layers': 2}",-0.24409203539682794
False,1,1,[100],1,512,5,0.4765599426811301,128,128,128,adam,0.7213347746677555,0.000905750956411006,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 161, 'fingerprint_size': 2238, 'num_layers': 3}",-0.2478846398634939
False,2,2,"[372, 995]",1,256,5,0.13402562612446284,256,128,128,adagrad,0.06627263669671704,0.006163208874087597,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 190, 'fingerprint_size': 2238, 'num_layers': 3}",-0.2652361768718058
False,4,2,[168],1,256,5,0.12387087033196478,256,128,128,adadelta,0.1777597592914031,0.9093836376704335,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 81, 'fingerprint_size': 2238, 'num_layers': 4}",-0.2668936642904775
False,8,1,[362],1,256,5,0.4795969442382335,128,128,128,adam,0.9879951206270853,0.0010007983034096928,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 450, 'fingerprint_size': 2238, 'num_layers': 1}",-0.2703119130383081
False,1,2,"[1800, 171]",1,256,5,0.370608044051694,128,128,128,adam,0.005766517537326306,0.013303285067609227,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 487, 'fingerprint_size': 2238, 'num_layers': 3}",-0.28239783601711616
False,8,3,"[666, 105, 2024]",1,256,5,0.4287616969874707,256,128,128,adadelta,0.30868302542510545,0.013062947381876074,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 104, 'fingerprint_size': 2238, 'num_layers': 1}",-0.2832820413904745
False,1,3,"[1753, 295]",1,512,5,0.49955651374269994,256,128,128,adadelta,0.46398293415484854,0.004897716177523532,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 448, 'fingerprint_size': 2238, 'num_layers': 3}",-0.3194992836266334
False,1,2,[336],1,512,5,0.2643231402413187,256,128,128,rmsprop,0.36873061891093445,0.0006292053964986811,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 227, 'fingerprint_size': 2238, 'num_layers': 3}",-0.32915650622206316
False,8,3,"[1694, 196, 1525]",1,512,5,0.10687445132638129,256,128,128,adam,0.8497672541814727,0.00018262908299007522,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 396, 'fingerprint_size': 2238, 'num_layers': 4}",-0.34565878019846463
False,1,3,[87],1,512,5,0.1264958611530986,256,128,128,adam,0.26623973901256276,0.0049548313054407055,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 486, 'fingerprint_size': 2238, 'num_layers': 1}",-0.3533953662941139
False,8,2,"[709, 1285, 1778]",1,512,5,0.47397469440332796,256,128,128,adagrad,0.6535496795691167,0.018297382290843222,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 121, 'fingerprint_size': 2238, 'num_layers': 4}",-0.3668467459369716
False,8,3,[1239],1,256,5,0.3290359938431705,256,128,128,adadelta,0.7084412125093611,0.4417536240376429,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 501, 'fingerprint_size': 2238, 'num_layers': 1}",-0.36985854363634213
False,4,1,[995],1,256,5,0.30991975074817824,128,128,128,rmsprop,0.4383222605120053,0.0015693523022319335,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 326, 'fingerprint_size': 2238, 'num_layers': 3}",-0.3704160465418024
False,1,3,"[276, 1549, 319]",1,256,5,0.42203979447926254,256,128,128,adadelta,0.4565189682632828,0.7003140741687828,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 377, 'fingerprint_size': 2238, 'num_layers': 3}",-0.3906377623682575
False,1,2,[1242],1,256,5,0.10882181909632399,128,128,128,adadelta,0.6357066752557862,0.8897265654909173,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 87, 'fingerprint_size': 2238, 'num_layers': 1}",-0.3938800396231009
False,8,3,"[1047, 297]",1,256,5,0.1427272314729144,128,128,128,adam,0.523992213283413,0.007672756075555716,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 274, 'fingerprint_size': 2238, 'num_layers': 3}",-0.3996216172177445
False,8,1,"[1895, 1884, 1941]",1,256,5,0.11293674908579573,256,128,128,adam,0.7506948941024502,0.010460953298945698,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 499, 'fingerprint_size': 2238, 'num_layers': 1}",-0.4223563606257682
False,8,1,"[1208, 1049, 583]",1,256,5,0.2602955098053626,128,128,128,adadelta,0.05342807804690687,0.00039102160839996964,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 115, 'fingerprint_size': 2238, 'num_layers': 4}",-0.4278613259210619
