prot_dim,fp_dim,gconv_dim,hdims,kaiming_constant,dprob,tr_batch_size,val_batch_size,test_batch_size,optimizer,optimizer__global__weight_decay,optimizer__global__lr,optimizer__sgd__momentum,score
8421,1024,256,"[3412, 2345, 320]",5,0.03486172104280114,256,512,512,rmsprop,0.00029444242586908653,0.09608052567735773,0.8197408898515477,-0.6906110887808043
8421,1024,256,[5000],5,1.0,256,512,512,sgd,0.0001,1.0,1.0,-0.7024139023432401
8421,1024,256,"[4339, 1548, 2354, 2282]",5,0.5985136425931296,256,512,512,adamax,0.1077040018694145,0.09690181493828248,0.0935796429245713,-0.8087010684231286
8421,1024,512,"[814, 3969]",5,0.029978158580466378,128,512,512,rmsprop,0.007672756075555716,0.00745459852523691,0.18140382630973137,-0.8147296087294655
8421,1024,128,"[576, 2423, 396, 2387]",5,0.014235288892889018,128,512,512,adagrad,0.8638783867320292,0.2558494020380986,0.004397758760526298,-0.8922442181393822
8421,1024,128,"[558, 2530, 3334]",5,0.23652714941483058,128,512,512,rmsprop,0.0008047169238147043,0.01904330868939249,0.001109245573214703,-1.431702050996726
8421,1024,512,"[4348, 1798, 3176]",5,0.2722115395442826,256,512,512,adamax,0.012318667580214788,0.6535496795691167,0.018297382290843222,-1.9251057800418103
8421,1024,256,"[4486, 1203, 1979, 4070]",5,0.5697872820026288,128,512,512,adagrad,0.285858766209668,0.4861121689753737,0.00046848084588945973,-2.6303854165527545
8421,1024,256,[1591],5,0.01031550779603837,256,512,512,adagrad,0.3898885095860367,0.7253766270966959,0.0002094541852656817,-3.3870837179957447
8421,1024,128,[4077],5,0.011319096006681007,128,512,512,rmsprop,0.0033571551694312088,0.4093431260603898,0.00023934750924890083,-247.41394644443804
8421,1024,512,"[256, 256, 5000, 256]",5,0.01,128,512,512,sgd,0.0001,0.13809623158354575,1.0,-10000.0
8421,1024,512,"[527, 345, 5000, 4999]",5,0.9993814497794553,128,512,512,sgd,0.024287790516050508,0.9779917744879658,0.9991030026070993,-10000.0
