,egfr_cs,smiles,proteinName,protein_dataset
22,0,NCCCNCCCCNCCCN,EGFR,egfr_cs
23,0,N[C@@H](CC(=O)O)C(=O)O,EGFR,egfr_cs
24,0,NCCC[C@H](N)C(=O)O,EGFR,egfr_cs
25,0,NC(=O)CC[C@H](N)C(=O)O,EGFR,egfr_cs
26,0,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,EGFR,egfr_cs
27,0,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O,EGFR,egfr_cs
28,0,N[C@@H](CO)C(=O)O,EGFR,egfr_cs
29,0,CSCC[C@H](N)C(=O)O,EGFR,egfr_cs
30,0,N[C@@H](Cc1ccc(O)cc1)C(=O)O,EGFR,egfr_cs
31,0,C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)CCCC(C)(C)O)C[C@@H](O)C[C@@H]1O,EGFR,egfr_cs
32,0,CC1=C[C@H](O)CC(C)(C)[C@H]1/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C,EGFR,egfr_cs
33,0,N[C@@H](CSSC[C@H](N)C(=O)O)C(=O)O,EGFR,egfr_cs
34,0,O=C(O)CCC(=O)O,EGFR,egfr_cs
35,0,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C,EGFR,egfr_cs
36,0,CC(=O)N[C@@H](C=O)[C@@H](O)[C@H](O)[C@H](O)CO,EGFR,egfr_cs
37,0,N[C@@H](CCC(=O)O)C(=O)O,EGFR,egfr_cs
38,0,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O,EGFR,egfr_cs
39,0,CCCC(=O)O[C@H](COC(=O)CC)COP(=O)(O)OC[C@H](N)C(=O)O,EGFR,egfr_cs
40,0,NCC(=O)O,EGFR,egfr_cs
41,0,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)CCCC(C)(C)O,EGFR,egfr_cs
42,0,Cc1ncc(CO)c(C=O)c1O,EGFR,egfr_cs
43,0,CN(CC(=O)O)C(=N)N,EGFR,egfr_cs
44,0,CC(C)C[C@H](N)C(=O)O,EGFR,egfr_cs
45,0,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,EGFR,egfr_cs
46,0,N[C@@H](CS)C(=O)O,EGFR,egfr_cs
47,0,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,EGFR,egfr_cs
48,0,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)/C=C/[C@H](C)C(C)C,EGFR,egfr_cs
49,0,CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)O,EGFR,egfr_cs
50,0,NC(=O)NCCC[C@H](N)C(=O)O,EGFR,egfr_cs
51,0,C[C@@H](O)[C@H](N)C(=O)O,EGFR,egfr_cs
52,0,NC(=O)C1=CN([C@@H]2O[C@H](CO[P@@](=O)(O)O[P@@](=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,EGFR,egfr_cs
53,0,Nc1nc(=O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,EGFR,egfr_cs
54,0,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,EGFR,egfr_cs
55,0,C[C@H](N)C(=O)O,EGFR,egfr_cs
56,0,CC(C)[C@H](N)C(=O)O,EGFR,egfr_cs
57,0,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,EGFR,egfr_cs
58,0,Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2,EGFR,egfr_cs
59,0,Cc1ncc(CO)c(CO)c1O,EGFR,egfr_cs
60,0,O=C(O)CCCC[C@@H]1CCSS1,EGFR,egfr_cs
61,0,CC[C@H](C)[C@H](N)C(=O)O,EGFR,egfr_cs
62,0,COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CC(=O)O,EGFR,egfr_cs
63,0,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)CCCC(C)C,EGFR,egfr_cs
64,0,CC1=CC(=O)c2ccccc2C1=O,EGFR,egfr_cs
65,0,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,EGFR,egfr_cs
66,0,O=C(O)[C@@H]1CCCN1,EGFR,egfr_cs
67,0,Nc1ncnc2nc[nH]c12,EGFR,egfr_cs
68,0,NC(=O)C[C@H](N)C(=O)O,EGFR,egfr_cs
69,0,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,EGFR,egfr_cs
70,0,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,EGFR,egfr_cs
71,0,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)[C@H](C(=O)O)C(C)C,EGFR,egfr_cs
72,0,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21,EGFR,egfr_cs
73,0,C[C@@H](Cc1ccc(O)c(O)c1)[C@H](C)Cc1ccc(O)c(O)c1,EGFR,egfr_cs
74,0,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,EGFR,egfr_cs
75,0,NCC(CC(=O)O)c1ccc(Cl)cc1,EGFR,egfr_cs
76,0,CC(N)Cc1ccccc1,EGFR,egfr_cs
77,0,CSCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,EGFR,egfr_cs
78,0,CN1CCC[C@H]1c1cccnc1,EGFR,egfr_cs
79,0,CC1O[C@@]2(CS1)CN1CCC2CC1,EGFR,egfr_cs
80,0,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,EGFR,egfr_cs
81,0,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1,EGFR,egfr_cs
82,0,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,EGFR,egfr_cs
83,0,C#CC(O)(/C=C/Cl)CC,EGFR,egfr_cs
84,0,C[C@@](Cc1ccc(O)c(O)c1)(NN)C(=O)O,EGFR,egfr_cs
85,0,CC(C)(N)Cc1ccccc1,EGFR,egfr_cs
86,0,CC(C)NCCCC1(C(N)=O)c2ccccc2-c2ccccc21,EGFR,egfr_cs
87,0,COc1cccc([C@@]2(O)CCCC[C@@H]2CN(C)C)c1,EGFR,egfr_cs
88,0,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,EGFR,egfr_cs
89,0,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,EGFR,egfr_cs
90,0,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,EGFR,egfr_cs
91,0,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,EGFR,egfr_cs
92,0,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,EGFR,egfr_cs
93,0,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,EGFR,egfr_cs
94,0,CC1=C2[N+]3=C(C=C4[N+]5=C(C(C)=C6N7[C@@H]8[C@H](CC(N)=O)[C@@]6(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@@H]6[C@@H](CO)O[C@@H]([C@@H]6O)n6c[n+](c9cc(C)c(C)cc96)[Co-3]753(O)[N+]3=C1[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@]83C)[C@@H](CCC(N)=O)C4(C)C)[C@@H](CCC(N)=O)[C@]2(C)CC(N)=O,EGFR,egfr_cs
95,0,Cn1c(=O)c2c(ncn2C)n(C)c1=O,EGFR,egfr_cs
96,0,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,EGFR,egfr_cs
97,0,CCCc1nn(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)[nH]c12,EGFR,egfr_cs
98,0,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,EGFR,egfr_cs
99,0,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,EGFR,egfr_cs
100,0,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,EGFR,egfr_cs
101,0,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,EGFR,egfr_cs
102,0,Clc1ccccc1CN1CCc2sccc2C1,EGFR,egfr_cs
103,0,O=C(O[C@@H]1C[C@@H]2CC[C@H](C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1,EGFR,egfr_cs
104,0,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,EGFR,egfr_cs
105,0,COc1ccc(OC)c(C(O)CNC(=O)CN)c1,EGFR,egfr_cs
106,0,CC(C)(C)S(=O)(=O)C[C@@H](Cc1ccccc1)C(O)=N[C@@H](Cc1cnc[nH]1)C(O)=N[C@@H](CC1CCCCC1)[C@@H](O)[C@@H](O)C1CC1,EGFR,egfr_cs
107,0,COc1ccnc(CS(=O)c2nc3ccc(OC(F)F)cc3[nH]2)c1OC,EGFR,egfr_cs
108,0,Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1,EGFR,egfr_cs
109,0,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,EGFR,egfr_cs
110,0,CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12,EGFR,egfr_cs
111,0,C/N=C(\NC)NCc1ccccc1,EGFR,egfr_cs
112,0,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,EGFR,egfr_cs
113,0,CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,EGFR,egfr_cs
114,0,Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,EGFR,egfr_cs
115,0,CCC(NC(C)C)C(O)c1ccc(O)c(O)c1,EGFR,egfr_cs
116,0,CCC1=C(C)CN(C(O)=NCCc2ccc(S(=O)(=O)NC(O)=N[C@H]3CC[C@H](C)CC3)cc2)C1=O,EGFR,egfr_cs
117,0,C[C@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,EGFR,egfr_cs
118,0,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,EGFR,egfr_cs
119,0,NC(N)=NCC1COC2(CCCCC2)O1,EGFR,egfr_cs
120,0,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,EGFR,egfr_cs
121,0,FC(F)OC(F)(F)C(F)Cl,EGFR,egfr_cs
122,0,CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3csc(N)n3)[C@H]2SC1,EGFR,egfr_cs
123,0,CC(C)C[C@H](CN)CC(=O)O,EGFR,egfr_cs
124,0,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,EGFR,egfr_cs
125,0,CN1C(CCl)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O,EGFR,egfr_cs
126,0,Nc1ccc(C(=O)O)c(O)c1,EGFR,egfr_cs
127,0,CCOc1ccccc1O[C@H](c1ccccc1)[C@H]1CNCCO1,EGFR,egfr_cs
128,0,Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1,EGFR,egfr_cs
129,0,O=C(CCBr)N1CCN(C(=O)CCBr)CC1,EGFR,egfr_cs
130,0,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,EGFR,egfr_cs
131,0,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,EGFR,egfr_cs
132,0,Clc1ccc(CO/N=C(\Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,EGFR,egfr_cs
133,0,C[C@@H]1C[C@H]2[C@H]3[C@H]([C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO)[C@@]1(C)C=CC(=O)C=C1C[C@H]3Cl,EGFR,egfr_cs
134,0,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,EGFR,egfr_cs
135,0,Nc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1,EGFR,egfr_cs
136,0,COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1,EGFR,egfr_cs
137,0,Nc1ccc(O)c(C(=O)O)c1,EGFR,egfr_cs
138,0,CN1[C@H]2CC[C@@H]1C[C@H](OC(c1ccccc1)c1ccccc1)C2,EGFR,egfr_cs
139,0,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,EGFR,egfr_cs
140,0,CCC(CO)NC(=O)[C@@H]1C=C2c3cccc4c3c(cn4C)C[C@H]2N(C)C1,EGFR,egfr_cs
141,0,C=CCN1C[C@H](C(=O)N(CCCN(C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,EGFR,egfr_cs
142,0,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,EGFR,egfr_cs
143,0,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,EGFR,egfr_cs
